read_date,user_uuid,category,journalist_id,language,length,country,subscription_date,platform,article_id,stars,read_month,user_type,total_reads,unique_categories,cluster,persona
2023-07-12,143,finance,102,it,short,it,2022-05-22,pc,612396,2,2023-07,Fedele,6,2,0,Super Lettore
2022-04-01,224,sport,112,en,long,uk,2020-06-04,tablet,333965,4,2022-04,Moderato,3,3,1,Esploratore
2022-08-04,153,economy,109,fr,medium,fr,2020-06-14,pc,221256,1,2022-08,Occasionale,2,2,1,Mordi e Fuggi
2022-11-13,115,sport,109,it,long,it,2020-01-08,mobile,332605,2,2022-11,Fedele,9,5,2,Super Lettore
2023-02-02,211,sport,107,it,medium,it,2021-10-17,tablet,322289,2,2023-02,Moderato,5,2,0,Esploratore
2023-09-27,25,finance,114,it,long,it,2021-10-28,mobile,63295,2,2023-09,Occasionale,2,2,1,Mordi e Fuggi
2022-07-11,123,art,103,fr,short,fr,2021-09-19,tablet,511794,3,2022-07,Fedele,6,6,2,Super Lettore
2023-11-13,157,finance,107,en,medium,uk,2020-02-12,mobile,623801,4,2023-11,Fedele,12,6,2,Super Lettore
2023-12-03,26,sport,105,fr,short,fr,2021-07-20,pc,311354,1,2023-12,Moderato,4,3,0,Esploratore
2023-03-19,134,weather,122,fr,long,fr,2022-11-20,pc,731609,4,2023-03,Moderato,3,3,1,Esploratore
2022-08-10,226,art,112,fr,long,fr,2020-10-04,tablet,531592,4,2022-08,Fedele,6,3,0,Super Lettore
2022-06-25,44,economy,107,fr,medium,fr,2020-12-09,tablet,221104,2,2022-06,Moderato,5,4,0,Esploratore
2022-05-24,140,lifestyle,102,it,short,it,2021-10-03,tablet,11255,3,2022-05,Fedele,6,5,0,Super Lettore
2023-11-01,162,news,111,en,medium,uk,2022-09-06,pc,623283,4,2023-11,Moderato,5,3,0,Esploratore
2023-07-08,21,weather,114,fr,short,fr,2021-07-11,pc,711103,5,2023-07,Moderato,3,1,1,Esploratore
2023-05-03,174,sport,122,it,medium,it,2022-02-12,mobile,322214,5,2023-05,Moderato,4,3,0,Esploratore
2023-07-21,59,economy,106,fr,medium,fr,2021-06-25,tablet,221442,1,2023-07,Occasionale,2,2,1,Mordi e Fuggi
2023-02-01,172,lifestyle,121,fr,short,fr,2020-04-22,pc,111237,3,2023-02,Fedele,6,4,0,Super Lettore
2023-07-20,8,weather,122,it,short,it,2022-04-23,pc,71233,5,2023-07,Moderato,4,4,0,Esploratore
2023-04-26,14,lifestyle,113,it,short,it,2021-01-14,tablet,11218,2,2023-04,Fedele,7,6,2,Super Lettore
2023-03-22,237,finance,120,en,long,uk,2022-03-23,pc,633207,4,2023-03,Fedele,6,4,0,Super Lettore
2022-04-06,89,art,118,it,long,it,2020-01-02,tablet,532729,3,2022-04,Moderato,3,2,1,Esploratore
2021-11-17,138,finance,111,it,short,it,2020-04-06,pc,612403,3,2021-11,Moderato,4,4,0,Esploratore
2021-10-04,94,news,103,it,long,it,2020-03-24,pc,632117,5,2021-10,Fedele,6,4,0,Super Lettore
2023-11-09,4,finance,104,it,short,it,2022-05-10,pc,612238,1,2023-11,Occasionale,2,2,1,Mordi e Fuggi
2023-07-05,184,finance,103,it,long,it,2022-08-11,tablet,632698,1,2023-07,Moderato,3,3,1,Esploratore
2022-12-24,71,weather,117,en,long,uk,2021-05-10,pc,733751,3,2022-12,Moderato,5,3,0,Esploratore
2023-07-16,238,weather,111,it,long,it,2020-09-16,pc,732283,1,2023-07,Moderato,4,3,0,Esploratore
2023-12-22,196,weather,101,en,long,uk,2022-06-04,tablet,733494,2,2023-12,Moderato,4,4,0,Esploratore
2022-07-21,18,sport,113,en,short,uk,2021-12-14,pc,313420,4,2022-07,Fedele,9,4,2,Super Lettore
2023-03-24,201,sport,101,fr,long,fr,2022-11-25,tablet,331602,5,2023-03,Moderato,3,3,1,Esploratore
2022-02-04,181,weather,122,fr,short,fr,2020-12-09,mobile,711982,3,2022-02,Fedele,10,6,2,Super Lettore
2023-05-14,133,art,122,it,medium,it,2022-07-19,mobile,522330,2,2023-05,Moderato,4,3,0,Esploratore
2023-09-03,241,weather,111,en,medium,uk,2022-05-11,tablet,723532,1,2023-09,Fedele,10,4,2,Super Lettore
2023-03-18,195,weather,117,it,long,it,2022-12-09,mobile,732651,1,2023-03,Fedele,6,3,0,Super Lettore
2022-01-14,212,economy,112,en,short,uk,2020-02-27,pc,213241,3,2022-01,Moderato,3,3,1,Esploratore
2022-03-24,78,economy,119,it,medium,it,2021-02-24,mobile,22256,2,2022-03,Occasionale,2,2,1,Mordi e Fuggi
2022-03-15,138,art,102,it,medium,it,2020-04-06,mobile,522231,1,2022-03,Moderato,4,4,0,Esploratore
2022-01-22,24,weather,112,it,short,it,2020-09-09,mobile,712396,4,2022-01,Moderato,3,3,1,Esploratore
2022-06-01,40,finance,119,en,long,uk,2021-09-08,tablet,633378,5,2022-06,Fedele,6,4,0,Super Lettore
2022-08-07,149,weather,101,fr,medium,fr,2020-05-11,pc,721610,2,2022-08,Fedele,6,4,0,Super Lettore
2023-09-04,213,sport,100,it,short,it,2021-09-24,tablet,312674,3,2023-09,Occasionale,1,1,1,Mordi e Fuggi
2023-06-28,19,weather,116,it,medium,it,2020-04-12,pc,72285,3,2023-06,Fedele,6,2,0,Super Lettore
2023-06-25,95,weather,111,fr,short,fr,2022-03-10,tablet,711542,2,2023-06,Moderato,3,3,1,Esploratore
2022-08-09,19,weather,101,fr,short,fr,2020-04-12,pc,711699,4,2022-08,Fedele,6,2,0,Super Lettore
2021-07-27,69,finance,106,it,medium,it,2020-08-23,tablet,622487,4,2021-07,Moderato,4,3,0,Esploratore
2023-07-24,237,finance,109,it,long,it,2022-03-23,tablet,632945,4,2023-07,Fedele,6,4,0,Super Lettore
2021-07-01,98,weather,103,it,long,it,2020-09-26,mobile,732585,5,2021-07,Fedele,10,5,2,Super Lettore
2023-07-01,210,finance,107,fr,short,fr,2022-09-24,pc,611674,2,2023-07,Moderato,4,4,0,Esploratore
2022-03-15,42,economy,106,en,long,uk,2021-03-06,tablet,233810,3,2022-03,Moderato,3,3,1,Esploratore
2022-11-25,26,sport,118,en,long,uk,2021-07-20,tablet,333585,1,2022-11,Moderato,4,3,0,Esploratore
2023-12-07,188,finance,100,en,long,uk,2022-06-13,pc,633510,4,2023-12,Fedele,6,3,0,Super Lettore
2023-05-01,210,art,105,it,long,it,2022-09-24,pc,532701,1,2023-05,Moderato,4,4,0,Esploratore
2023-04-28,6,weather,101,fr,long,fr,2020-09-14,tablet,731486,2,2023-04,Fedele,7,4,2,Super Lettore
2023-04-03,166,news,113,it,short,it,2021-07-22,tablet,612409,5,2023-04,Moderato,4,4,0,Esploratore
2021-07-09,138,economy,108,fr,short,fr,2020-04-06,pc,211653,2,2021-07,Moderato,4,4,0,Esploratore
2022-11-07,17,news,109,it,short,it,2021-07-02,mobile,612483,1,2022-11,Moderato,3,3,1,Esploratore
2022-06-05,186,finance,104,it,short,it,2020-08-12,mobile,612856,2,2022-06,Moderato,4,4,0,Esploratore
2023-06-15,231,lifestyle,104,fr,medium,fr,2022-01-03,pc,121599,3,2023-06,Moderato,3,2,1,Esploratore
2023-09-19,28,sport,102,it,long,it,2022-06-01,tablet,332749,5,2023-09,Moderato,5,3,0,Esploratore
2023-07-08,241,weather,101,it,long,it,2022-05-11,tablet,732939,1,2023-07,Fedele,10,4,2,Super Lettore
2023-12-16,219,news,106,it,long,it,2021-12-24,pc,632102,2,2023-12,Fedele,8,6,2,Super Lettore
2023-04-10,200,weather,109,en,short,uk,2022-03-24,pc,713958,4,2023-04,Moderato,3,3,1,Esploratore
2023-01-17,195,sport,100,fr,long,fr,2022-12-09,tablet,331309,3,2023-01,Fedele,6,3,0,Super Lettore
2023-08-16,79,lifestyle,107,en,short,uk,2020-12-12,pc,113719,4,2023-08,Moderato,3,3,1,Esploratore
2022-08-08,38,finance,119,it,long,it,2021-01-02,pc,632253,1,2022-08,Moderato,4,2,1,Esploratore
2023-08-28,183,economy,112,en,long,uk,2021-08-20,mobile,233490,4,2023-08,Moderato,5,4,0,Esploratore
2023-09-06,117,finance,111,it,long,it,2020-07-13,tablet,6322,2,2023-09,Occasionale,2,1,1,Mordi e Fuggi
2022-05-03,93,economy,112,it,medium,it,2021-07-04,pc,222402,4,2022-05,Moderato,5,4,0,Esploratore
2023-04-21,72,sport,114,en,short,uk,2022-10-12,tablet,313765,3,2023-04,Fedele,7,5,2,Super Lettore
2022-02-10,140,weather,114,fr,short,fr,2021-10-03,tablet,711107,5,2022-02,Fedele,6,5,0,Super Lettore
2023-10-24,163,weather,106,it,short,it,2022-11-28,mobile,712337,2,2023-10,Fedele,7,4,2,Super Lettore
2023-10-04,31,weather,104,it,medium,it,2022-09-07,pc,722525,1,2023-10,Moderato,3,2,1,Esploratore
2023-08-26,51,weather,107,it,long,it,2022-07-09,tablet,73243,4,2023-08,Fedele,10,6,2,Super Lettore
2022-09-12,218,weather,103,it,medium,it,2021-02-16,tablet,722248,1,2022-09,Moderato,4,3,0,Esploratore
2023-11-19,95,lifestyle,108,it,short,it,2022-03-10,tablet,112535,5,2023-11,Moderato,3,3,1,Esploratore
2023-01-26,23,weather,120,en,medium,uk,2021-09-20,mobile,723371,3,2023-01,Moderato,3,2,1,Esploratore
2023-05-15,221,weather,109,it,long,it,2021-04-25,mobile,732430,3,2023-05,Fedele,7,5,2,Super Lettore
2022-02-05,9,art,107,en,short,uk,2021-03-21,pc,513517,4,2022-02,Moderato,3,2,1,Esploratore
2023-06-03,132,weather,118,en,long,uk,2022-07-25,tablet,733349,1,2023-06,Moderato,5,2,0,Esploratore
2023-02-01,201,economy,102,fr,long,fr,2022-11-25,pc,231525,4,2023-02,Moderato,3,3,1,Esploratore
2023-04-11,106,sport,111,en,long,uk,2022-12-23,pc,333924,1,2023-04,Fedele,6,4,0,Super Lettore
2023-04-23,99,sport,106,it,short,it,2022-01-20,pc,312698,4,2023-04,Fedele,6,4,0,Super Lettore
2023-07-24,168,news,102,fr,medium,fr,2022-10-15,tablet,621570,4,2023-07,Moderato,4,3,0,Esploratore
2023-12-26,49,sport,104,fr,short,fr,2020-10-24,pc,311839,4,2023-12,Moderato,4,3,0,Esploratore
2022-12-25,204,finance,102,it,medium,it,2021-07-27,pc,622344,4,2022-12,Moderato,3,3,1,Esploratore
2023-04-22,81,finance,104,en,medium,uk,2022-08-23,pc,623586,1,2023-04,Moderato,3,2,1,Esploratore
2023-10-25,105,finance,105,en,long,uk,2022-01-25,mobile,63365,5,2023-10,Moderato,5,4,0,Esploratore
2022-03-20,187,finance,102,fr,long,fr,2020-05-03,mobile,631328,3,2022-03,Fedele,7,3,2,Super Lettore
2021-05-13,206,economy,110,en,long,uk,2020-11-07,tablet,233755,2,2021-05,Moderato,4,2,1,Esploratore
2021-10-27,6,economy,118,en,long,uk,2020-09-14,tablet,233155,1,2021-10,Fedele,7,4,2,Super Lettore
2022-09-13,209,sport,113,it,long,it,2020-07-06,mobile,332525,2,2022-09,Fedele,7,4,2,Super Lettore
2021-02-24,55,sport,117,en,medium,uk,2020-11-28,tablet,323950,2,2021-02,Occasionale,2,1,1,Mordi e Fuggi
2023-11-10,109,finance,102,it,short,it,2022-08-08,mobile,612703,2,2023-11,Moderato,5,4,0,Esploratore
2022-06-14,123,sport,109,it,long,it,2021-09-19,tablet,332489,1,2022-06,Fedele,6,6,2,Super Lettore
2022-11-21,37,finance,105,it,long,it,2021-09-04,pc,632523,3,2022-11,Occasionale,2,1,1,Mordi e Fuggi
2023-11-14,32,weather,108,en,long,uk,2022-03-07,pc,733929,3,2023-11,Occasionale,2,2,1,Mordi e Fuggi
2022-04-06,102,weather,101,en,long,uk,2021-05-10,pc,733206,5,2022-04,Fedele,9,5,2,Super Lettore
2022-09-28,121,sport,120,it,long,it,2020-11-03,tablet,332789,3,2022-09,Moderato,5,3,0,Esploratore
2022-09-17,49,weather,110,it,long,it,2020-10-24,mobile,73297,2,2022-09,Moderato,4,3,0,Esploratore
2022-02-03,144,sport,106,fr,short,fr,2020-04-13,mobile,311527,3,2022-02,Moderato,5,3,0,Esploratore
2023-08-22,124,sport,110,it,long,it,2022-09-14,tablet,332539,4,2023-08,Occasionale,2,2,1,Mordi e Fuggi
2022-09-07,115,finance,120,it,short,it,2020-01-08,tablet,612484,5,2022-09,Fedele,9,5,2,Super Lettore
2022-06-14,175,finance,112,fr,medium,fr,2021-02-27,tablet,621847,1,2022-06,Moderato,4,4,0,Esploratore
2023-02-18,94,weather,101,en,long,uk,2020-03-24,tablet,733682,3,2023-02,Fedele,6,4,0,Super Lettore
2023-08-17,108,economy,113,en,short,uk,2021-12-08,tablet,213516,5,2023-08,Moderato,5,5,0,Esploratore
2023-12-02,3,weather,118,it,medium,it,2020-07-22,mobile,722170,3,2023-12,Occasionale,1,1,1,Mordi e Fuggi
2021-06-20,145,finance,111,en,long,uk,2020-01-13,mobile,633437,5,2021-06,Fedele,7,4,2,Super Lettore
2022-09-24,166,economy,112,en,long,uk,2021-07-22,pc,233978,3,2022-09,Moderato,4,4,0,Esploratore
2022-11-21,159,weather,108,fr,short,fr,2021-06-21,pc,711401,5,2022-11,Occasionale,2,2,1,Mordi e Fuggi
2023-07-09,114,sport,108,en,medium,uk,2022-07-08,mobile,323637,1,2023-07,Fedele,7,4,2,Super Lettore
2022-09-03,80,lifestyle,114,it,long,it,2021-07-07,tablet,132470,2,2022-09,Fedele,6,4,0,Super Lettore
2023-05-21,169,news,101,en,short,uk,2021-06-16,pc,613775,5,2023-05,Moderato,5,4,0,Esploratore
2023-01-26,101,news,101,fr,long,fr,2021-05-06,tablet,631561,4,2023-01,Moderato,4,4,0,Esploratore
2023-10-21,215,weather,108,en,short,uk,2022-05-05,tablet,713749,2,2023-10,Moderato,4,4,0,Esploratore
2023-07-03,135,weather,107,it,long,it,2021-08-16,pc,732958,1,2023-07,Fedele,8,3,2,Super Lettore
2022-08-13,118,lifestyle,110,en,long,uk,2021-04-27,tablet,133131,5,2022-08,Moderato,5,4,0,Esploratore
2023-07-10,90,weather,107,it,medium,it,2022-03-13,tablet,722678,2,2023-07,Fedele,8,3,2,Super Lettore
2022-09-22,181,economy,115,fr,long,fr,2020-12-09,pc,231299,5,2022-09,Fedele,10,6,2,Super Lettore
2022-09-23,102,lifestyle,113,it,long,it,2021-05-10,tablet,132960,3,2022-09,Fedele,9,5,2,Super Lettore
2023-03-03,208,sport,114,en,medium,uk,2022-11-20,tablet,323379,4,2023-03,Fedele,6,3,0,Super Lettore
2023-12-05,51,news,111,fr,long,fr,2022-07-09,mobile,631695,3,2023-12,Fedele,10,6,2,Super Lettore
2023-04-10,185,weather,115,fr,long,fr,2020-10-21,tablet,731249,5,2023-04,Moderato,3,3,1,Esploratore
2023-06-18,231,sport,105,it,short,it,2022-01-03,mobile,312533,5,2023-06,Moderato,3,2,1,Esploratore
2022-02-09,7,weather,108,it,short,it,2021-09-01,tablet,712804,5,2022-02,Moderato,4,3,0,Esploratore
2023-10-23,241,news,108,it,long,it,2022-05-11,tablet,632630,5,2023-10,Fedele,10,4,2,Super Lettore
2023-09-24,126,news,116,en,long,uk,2022-03-02,tablet,633973,1,2023-09,Moderato,4,4,0,Esploratore
2023-06-08,134,news,122,it,short,it,2022-11-20,tablet,612842,2,2023-06,Moderato,3,3,1,Esploratore
2023-10-09,131,weather,103,en,long,uk,2022-03-26,mobile,733906,3,2023-10,Moderato,5,3,0,Esploratore
2023-05-14,188,weather,116,en,long,uk,2022-06-13,tablet,73373,4,2023-05,Fedele,6,3,0,Super Lettore
2023-08-25,28,news,114,fr,long,fr,2022-06-01,tablet,631209,2,2023-08,Moderato,5,3,0,Esploratore
2022-05-25,146,economy,104,it,medium,it,2020-04-26,tablet,22299,2,2022-05,Fedele,6,3,0,Super Lettore
2022-08-13,232,economy,110,fr,long,fr,2021-06-25,tablet,231165,2,2022-08,Fedele,6,3,0,Super Lettore
2023-08-15,64,weather,114,it,short,it,2022-11-04,mobile,712487,1,2023-08,Moderato,4,4,0,Esploratore
2023-12-12,106,weather,119,fr,long,fr,2022-12-23,pc,731413,1,2023-12,Fedele,6,4,0,Super Lettore
2023-11-10,45,sport,104,it,long,it,2022-10-16,tablet,33261,1,2023-11,Moderato,4,4,0,Esploratore
2023-04-14,222,news,122,en,medium,uk,2021-05-05,mobile,62334,5,2023-04,Moderato,4,4,0,Esploratore
2022-01-07,108,lifestyle,100,it,medium,it,2021-12-08,tablet,122395,5,2022-01,Moderato,5,5,0,Esploratore
2022-03-16,189,finance,113,it,long,it,2021-06-05,tablet,632174,4,2022-03,Moderato,4,3,0,Esploratore
2023-02-09,126,sport,115,it,long,it,2022-03-02,mobile,332948,1,2023-02,Moderato,4,4,0,Esploratore
2022-04-18,226,sport,104,en,medium,uk,2020-10-04,tablet,323161,3,2022-04,Fedele,6,3,0,Super Lettore
2023-06-22,174,finance,120,en,short,uk,2022-02-12,pc,613155,5,2023-06,Moderato,4,3,0,Esploratore
2022-10-24,226,weather,104,it,long,it,2020-10-04,mobile,73282,4,2022-10,Fedele,6,3,0,Super Lettore
2023-10-27,141,sport,112,it,short,it,2021-05-23,tablet,312980,4,2023-10,Moderato,4,3,0,Esploratore
2021-12-06,209,sport,102,it,long,it,2020-07-06,mobile,332441,1,2021-12,Fedele,7,4,2,Super Lettore
2023-02-03,177,weather,104,it,long,it,2022-03-17,mobile,732307,5,2023-02,Moderato,5,3,0,Esploratore
2021-08-01,146,finance,104,it,long,it,2020-04-26,mobile,632262,5,2021-08,Fedele,6,3,0,Super Lettore
2022-06-11,147,art,107,en,medium,uk,2021-02-21,tablet,523222,4,2022-06,Fedele,6,4,0,Super Lettore
2023-02-28,227,sport,122,it,medium,it,2022-02-17,tablet,322599,5,2023-02,Occasionale,2,2,1,Mordi e Fuggi
2022-08-14,169,sport,120,en,long,uk,2021-06-16,pc,333411,2,2022-08,Moderato,5,4,0,Esploratore
2023-10-16,84,news,110,fr,medium,fr,2020-06-09,pc,621327,5,2023-10,Moderato,3,2,1,Esploratore
2022-11-12,76,sport,121,en,medium,uk,2020-05-14,tablet,32352,1,2022-11,Moderato,4,3,0,Esploratore
2022-03-12,123,finance,115,it,long,it,2021-09-19,tablet,632422,4,2022-03,Fedele,6,6,2,Super Lettore
2022-03-14,34,sport,105,fr,short,fr,2020-12-10,mobile,311890,1,2022-03,Fedele,6,3,0,Super Lettore
2023-11-12,187,finance,113,en,short,uk,2020-05-03,mobile,613101,3,2023-11,Fedele,7,3,2,Super Lettore
2023-05-18,239,news,115,fr,short,fr,2020-02-04,tablet,611367,3,2023-05,Moderato,5,3,0,Esploratore
2021-07-24,94,economy,118,en,medium,uk,2020-03-24,mobile,223652,1,2021-07,Fedele,6,4,0,Super Lettore
2023-06-10,208,economy,120,it,long,it,2022-11-20,mobile,232622,3,2023-06,Fedele,6,3,0,Super Lettore
2023-12-21,188,sport,119,it,short,it,2022-06-13,tablet,312886,2,2023-12,Fedele,6,3,0,Super Lettore
2023-02-10,72,finance,110,en,short,uk,2022-10-12,tablet,613579,5,2023-02,Fedele,7,5,2,Super Lettore
2022-07-17,170,finance,117,it,long,it,2021-10-07,mobile,632803,4,2022-07,Moderato,5,3,0,Esploratore
2021-03-08,94,art,106,en,short,uk,2020-03-24,tablet,513957,3,2021-03,Fedele,6,4,0,Super Lettore
2023-01-20,45,economy,122,it,long,it,2022-10-16,tablet,232372,3,2023-01,Moderato,4,4,0,Esploratore
2023-10-26,85,weather,106,fr,medium,fr,2020-03-28,pc,721592,3,2023-10,Moderato,4,3,0,Esploratore
2022-12-21,186,economy,112,en,medium,uk,2020-08-12,mobile,223853,4,2022-12,Moderato,4,4,0,Esploratore
2023-02-13,132,sport,101,it,long,it,2022-07-25,tablet,332357,3,2023-02,Moderato,5,2,0,Esploratore
2023-10-10,182,economy,117,it,medium,it,2020-03-14,pc,222593,5,2023-10,Moderato,3,3,1,Esploratore
2023-09-02,40,sport,113,it,short,it,2021-09-08,tablet,312173,3,2023-09,Fedele,6,4,0,Super Lettore
2023-01-16,131,sport,115,it,long,it,2022-03-26,pc,332840,2,2023-01,Moderato,5,3,0,Esploratore
2023-05-24,10,weather,106,en,short,uk,2022-08-05,tablet,713116,1,2023-05,Moderato,5,3,0,Esploratore
2022-01-07,225,weather,115,it,long,it,2020-12-25,tablet,732446,1,2022-01,Occasionale,1,1,1,Mordi e Fuggi
2023-06-20,13,sport,110,fr,short,fr,2022-05-22,mobile,311575,4,2023-06,Fedele,10,5,2,Super Lettore
2023-05-27,40,weather,110,it,short,it,2021-09-08,tablet,712881,5,2023-05,Fedele,6,4,0,Super Lettore
2021-01-09,53,lifestyle,114,it,short,it,2020-10-08,pc,112451,2,2021-01,Occasionale,2,1,1,Mordi e Fuggi
2022-02-24,108,weather,110,en,short,uk,2021-12-08,tablet,713382,1,2022-02,Moderato,5,5,0,Esploratore
2022-07-05,103,weather,109,en,long,uk,2020-03-25,mobile,733844,4,2022-07,Moderato,5,3,0,Esploratore
2023-08-07,82,weather,111,it,medium,it,2022-01-21,pc,72228,1,2023-08,Fedele,6,4,0,Super Lettore
2023-12-12,109,weather,103,it,long,it,2022-08-08,tablet,732800,1,2023-12,Moderato,5,4,0,Esploratore
2023-09-25,193,sport,106,en,long,uk,2021-11-14,pc,333855,3,2023-09,Moderato,4,3,0,Esploratore
2023-09-14,163,sport,112,en,short,uk,2022-11-28,pc,313955,5,2023-09,Fedele,7,4,2,Super Lettore
2023-04-02,237,weather,107,it,short,it,2022-03-23,tablet,712682,4,2023-04,Fedele,6,4,0,Super Lettore
2023-05-14,8,sport,107,it,short,it,2022-04-23,mobile,312361,3,2023-05,Moderato,4,4,0,Esploratore
2023-06-25,243,weather,100,it,short,it,2020-08-24,tablet,712970,2,2023-06,Moderato,3,3,1,Esploratore
2023-07-17,193,weather,106,it,long,it,2021-11-14,pc,732839,5,2023-07,Moderato,4,3,0,Esploratore
2023-12-04,109,news,118,en,short,uk,2022-08-08,pc,613985,3,2023-12,Moderato,5,4,0,Esploratore
2023-07-03,142,economy,105,en,long,uk,2022-05-20,tablet,233717,1,2023-07,Fedele,6,3,0,Super Lettore
2023-03-23,100,news,100,fr,long,fr,2022-02-02,tablet,631589,2,2023-03,Fedele,6,3,0,Super Lettore
